Root node created. Lower Bound: 96
Path: 0 1 | Lower Bound: 16
Path: 0 2 | Lower Bound: 20
Path: 0 3 | Lower Bound: 24
Path: 0 4 | Lower Bound: 30
Path: 0 5 | Lower Bound: 32
Path: 0 6 | Lower Bound: 17
Path: 0 7 | Lower Bound: 10
Path: 0 8 | Lower Bound: 16
Path: 0 9 | Lower Bound: 20
Path: 0 7 1 | Lower Bound: 29
Path: 0 7 2 | Lower Bound: 25
Path: 0 7 3 | Lower Bound: 30
Path: 0 7 4 | Lower Bound: 28
Path: 0 7 5 | Lower Bound: 27
Path: 0 7 6 | Lower Bound: 20
Path: 0 7 8 | Lower Bound: 30
Path: 0 7 9 | Lower Bound: 29
Path: 0 1 2 | Lower Bound: 35
Path: 0 1 3 | Lower Bound: 28
Path: 0 1 4 | Lower Bound: 35
Path: 0 1 5 | Lower Bound: 35
Path: 0 1 6 | Lower Bound: 35
Path: 0 1 7 | Lower Bound: 25
Path: 0 1 8 | Lower Bound: 22
Path: 0 1 9 | Lower Bound: 39
Path: 0 8 1 | Lower Bound: 30
Path: 0 8 2 | Lower Bound: 38
Path: 0 8 3 | Lower Bound: 24
Path: 0 8 4 | Lower Bound: 30
Path: 0 8 5 | Lower Bound: 36
Path: 0 8 6 | Lower Bound: 32
Path: 0 8 7 | Lower Bound: 38
Path: 0 8 9 | Lower Bound: 34
Path: 0 6 1 | Lower Bound: 32
Path: 0 6 2 | Lower Bound: 37
Path: 0 6 3 | Lower Bound: 30
Path: 0 6 4 | Lower Bound: 35
Path: 0 6 5 | Lower Bound: 20
Path: 0 6 7 | Lower Bound: 28
Path: 0 6 8 | Lower Bound: 32
Path: 0 6 9 | Lower Bound: 26
Path: 0 9 1 | Lower Bound: 32
Path: 0 9 2 | Lower Bound: 37
Path: 0 9 3 | Lower Bound: 40
Path: 0 9 4 | Lower Bound: 40
Path: 0 9 5 | Lower Bound: 41
Path: 0 9 6 | Lower Bound: 43
Path: 0 9 7 | Lower Bound: 35
Path: 0 9 8 | Lower Bound: 30
Path: 0 7 6 1 | Lower Bound: 42
Path: 0 7 6 2 | Lower Bound: 44
Path: 0 7 6 3 | Lower Bound: 37
Path: 0 7 6 4 | Lower Bound: 42
Path: 0 7 6 5 | Lower Bound: 27
Path: 0 7 6 8 | Lower Bound: 43
Path: 0 7 6 9 | Lower Bound: 33
Path: 0 2 1 | Lower Bound: 35
Path: 0 2 3 | Lower Bound: 25
Path: 0 2 4 | Lower Bound: 30
Path: 0 2 5 | Lower Bound: 34
Path: 0 2 6 | Lower Bound: 42
Path: 0 2 7 | Lower Bound: 32
Path: 0 2 8 | Lower Bound: 28
Path: 0 2 9 | Lower Bound: 25
Path: 0 6 5 1 | Lower Bound: 45
Path: 0 6 5 2 | Lower Bound: 41
Path: 0 6 5 3 | Lower Bound: 35
Path: 0 6 5 4 | Lower Bound: 29
Path: 0 6 5 7 | Lower Bound: 41
Path: 0 6 5 8 | Lower Bound: 46
Path: 0 6 5 9 | Lower Bound: 39
Path: 0 1 8 2 | Lower Bound: 47
Path: 0 1 8 3 | Lower Bound: 31
Path: 0 1 8 4 | Lower Bound: 37
Path: 0 1 8 5 | Lower Bound: 40
Path: 0 1 8 6 | Lower Bound: 39
